Generation PopBest PopAvg BestOverall
0 -480 -910 -480
1 500 -640 500
2 -520 -802 500
3 -500 -892 500
4 -460 -810 500
5 0 -728 500
6 -540 -1066 500
7 80 -638 500
8 20 -650 500
9 20 -860 500
10 -440 -792 500
11 -400 -908 500
12 -20 -818 500
13 460 -482 500
14 80 -716 500
15 80 -798 500
16 -480 -748 500
17 -420 -906 500
18 460 -950 500
19 -520 -976 500
20 40 -820 500
21 420 -680 500
22 -20 -810 500
23 60 -790 500
24 480 -724 500
25 0 -874 500
26 60 -634 500
27 -420 -778 500
28 80 -964 500
29 40 -784 500
30 520 -854 520
31 -20 -862 520
32 20 -556 520
33 1000 -886 1000
34 40 -624 1000
35 -560 -1002 1000
36 100 -690 1000
37 -40 -720 1000
38 140 -750 1000
39 20 -894 1000
40 480 -578 1000
41 -60 -800 1000
42 -960 -1116 1000
43 100 -660 1000
44 -280 -914 1000
45 -520 -966 1000
46 660 -668 1000
47 520 -692 1000
48 80 -966 1000
49 160 -876 1000

